area;mcYear;timeId;BALANCE;Balance_fb;Balance_ahc
al00;1;0;0;0;0
at00;1;0;0;0;0
ba00;1;0;0;0;0
be00;1;0;0;0;0
bg00;1;0;0;0;0
ch00;1;0;0;0;0
cy00;1;0;0;0;0
cz00;1;0;0;0;0
de00;1;0;0;0;0
dekf;1;0;0;0;0
dke1;1;0;0;0;0
dkkf;1;0;0;0;0
dkw1;1;0;0;0;0
ee00;1;0;0;0;0
es00;1;0;0;0;0
fi00;1;0;0;0;0
fr00;1;0;0;0;0
fr15;1;0;0;0;0
gr00;1;0;0;0;0
gr03;1;0;0;0;0
hr00;1;0;0;0;0
hu00;1;0;0;0;0
ie00;1;0;0;0;0
is00;1;0;0;0;0
itca;1;0;0;0;0
itcn;1;0;0;0;0
itcs;1;0;0;0;0
itn1;1;0;0;0;0
its1;1;0;0;0;0
itsa;1;0;0;0;0
itsi;1;0;0;0;0
lt00;1;0;0;0;0
lub1;1;0;0;0;0
luf1;1;0;0;0;0
lug1;1;0;0;0;0
luv1;1;0;0;0;0
lv00;1;0;0;0;0
me00;1;0;0;0;0
mk00;1;0;0;0;0
mt00;1;0;0;0;0
nl00;1;0;0;0;0
nom1;1;0;0;0;0
non1;1;0;0;0;0
nos0;1;0;0;0;0
pl00;1;0;0;0;0
ple0;1;0;0;0;0
pli0;1;0;0;0;0
pt00;1;0;0;0;0
ro00;1;0;0;0;0
rs00;1;0;0;0;0
se01;1;0;0;0;0
se02;1;0;0;0;0
se03;1;0;0;0;0
se04;1;0;0;0;0
si00;1;0;0;0;0
sk00;1;0;0;0;0
tn00;1;0;0;0;0
tr00;1;0;0;0;0
ua01;1;0;0;0;0
uk00;1;0;0;0;0
ukni;1;0;0;0;0
