ptdf;area
ptdfFR;fr00
ptdfDE;de00
ptdfAT;at00
ptdfPL;pl00
ptdfHR;hr00
ptdfSI;si00
ptdfBE;be00
ptdfNL;nl00
ptdfCZ;cz00
ptdfSK;sk00
ptdfHU;hu00
ptdfRO;ro00
ptdfIT;itn1
ptdfES;es00
ptdfDK;dkw1
ptdfCH;ch00
ptdfRS;rs00
ptdfBG;bg00
ptdfBA;ba00
ptdfNEMO;uk00-be00
ptdfIFA1;uk00-fr00
ptdfIFA2;uk00-fr00
ptdfBRITNED;uk00-nl00
ptdfSE_PL;se04-pl00
ptdfDKE_DE;dke1-de00
ptdfDKW_NL;dkw1-nl00
ptdfNO_NL;nos0-nl00
ptdfSE_DE;se04-de00
ptdfNO_DE;nos0-de00
ptdfUA_RO;ua01-ro00
ptdfUA_SK;ua01-sk00
ptdfLT_PL;lt00-pl00
ptdfUA_HU;ua01-hu00
ptdfUK_DE;uk00-de00
